Filter - https://issues.redhat.com/issues/?filter=12474663,,,,,,,,,
Key,Priority,Status,Components,Summary,Version,e2e Test (created for the scenario),Earliest level of Detection (Unit/Mock/Component level),Test Required? ,Comments
RHOAIENG-30321,Blocker,Resolved,Dashboard,[notebook] Workbench image dropdown showing image streams without the notebook-image label set to true,rhoai-2.23,No ,unit,Yes - Unit,
RHOAIENG-28103,Blocker,Closed,"Dashboard, Model Server and Metrics, Model Serving Runtimes",Default serving runtime for power not available in RHOAI 2.22.,rhoai-2.22,No ,e2e,Yes - e2e,There isn't a specific e2e Test for this scenario. Fix is NOT in dashboard.
RHOAIENG-27682,Blocker,Closed,Dashboard,Model deployment with token authentication missing SA/secret when resource name is set,rhoai-2.19.1,No ,unit,Yes - Unit,There isn't a specific e2e Test for this scenario. Test should assert the expected behavior for the API request being sent in specific scenarios.
RHOAIENG-26098,Blocker,Resolved,"Dashboard, Platform",Incorrect RBAC propagated to the dashboard admin user,None,Yes,e2e,No - Test created during fix,
RHOAIENG-25342,Blocker,Closed,Dashboard,OCI protocol trimmed in model deployment,rhoai-2.21,Yes,unit,Yes - Unit,
RHOAIENG-25122,Blocker,Resolved,Dashboard,Single Serving Platform disabled by default in latest 2.21 build,None,Yes,unit,No - Test created during fix,
RHOAIENG-24967,Blocker,Closed,"Dashboard, Model Server and Metrics",[2.19.1] InferenceService is fetching the wrong parameter from Dashboard : http instead of oci,rhoai-2.19.1,No ,unit,Yes - Unit,Not a suitable e2e test scenario.
RHOAIENG-24894,Blocker,Closed,Dashboard,RHOAI install unable to patch object apiVersion:route.openshift.io/v1,None,No ,N/A - Cannot Reproduce,No - Cannot Reproduce,Not a suitable e2e test scenario.
RHOAIENG-24886,Blocker,Closed,"Dashboard, Model Server and Metrics, Model Serving Runtimes",InferenceService is fetching the wrong parameter from Dashboard : http instead of oci,rhoai-2.20,No ,unit,Yes - Unit,
RHOAIENG-24546,Blocker,Resolved,Dashboard,"Dashboard Error Loading Components: Cannot create resource ""rolebindings""",None,Yes,e2e,No - Test created during fix,
RHOAIENG-23759,Blocker,Closed,Dashboard,ODH-Dashboard Pods Crashlooping (Error: Cannot find module 'fastify'),None,No ,e2e,Yes - e2e,Not a suitable e2e test scenario.
RHOAIENG-18916,Blocker,Closed,"Dashboard, Pipelines",RHOAI 2.17 Dashboard doesn't show pipeline logs in the run details page,rhoai-2.17,No ,mock,No - Test created during fix,
RHOAIENG-18859,Blocker,Closed,"Dashboard, Platform","upgrade from 2.16.0/2.16.1 to 2.17.0, dashboard is not ready",rhoai-2.17,No ,e2e,No - Infrastructure Issue,Not a suitable e2e test scenario.
