Filter https://issues.redhat.com/issues/?filter=12474971 ,,,,,,,,,,,,
Key,Priority,Status,Components,Summary,Version,e2e Test (created for the scenario),Earliest level of Detection,AI - Analysis by Christian,Test Required? ,Comments,Test Required? ,Task(s) created for the associated scenario
RHOAIENG-29353,Critical,Backlog,Dashboard,[2.22.NEXT] Documentation & Support Links Missing,rhoai-2.22.next,No ,AI - unit,AI - e2e,Yes - e2e,Code compiler issue,,
RHOAIENG-29352,Critical,In Progress,Dashboard,Documentation & Support Links Missing,None,No ,AI - unit,AI - unit,Yes - Unit,,,
RHOAIENG-28128,Critical,New,"Dashboard, Model Server and Metrics",unable to link ISVC to Model Registry error,None,Yes,AI - e2e,AI - e2e,Yes - e2e,,,
RHOAIENG-27684,Critical,Closed,"Dashboard, IDE",The workbench image column shows Deleted label after RHOAI upgrade,None,Yes,AI - unit,AI - unit,No - Test created during fix,Note - upgrade tests are not being performed currently - task required for this. ,,
RHOAIENG-26876,Critical,Closed,Dashboard,[Cypress-e2e] Fix storageclass nightly error,rhoai-2.22,Yes,AI - Test Coverage NA,AI - Test Coverage NA,No - Test created during fix,e2e test fix,,
RHOAIENG-26848,Critical,Closed,Dashboard,Custom Model Server sizes can incorrectly compare units,None,No ,AI - mock,N/A - Duplicate,No - Test created during fix,Looks like a suitable Mock Test,,
RHOAIENG-26758,Critical,Review,Dashboard,"Non-admin users are unable to list/create ""project-scoped"" Hardware profiles/Accelerator profiles",None,No ,AI - e2e,AI - e2e,Yes - e2e,,,
RHOAIENG-26100,Critical,Closed,Dashboard,[Cypress e2e] Analyze and Fix testMultiModelAdminCreation,rhoai-2.22,Yes,AI - e2e,N/A - Test Fix,No - Test created during fix,e2e test fix,,
RHOAIENG-25286,Critical,Closed,Dashboard,Cachito2/Hermeto issue with rhoai dashboard components,None,No ,AI - Test Coverage NA,AI - Test Coverage NA,No - Task/Story,This should have been a task/Story - this can be ignored.,,
RHOAIENG-25189,Critical,Closed,Dashboard,[Cypress e2e] Fix clusterStorage.cy.ts bug during provision,rhoai-2.21,Yes,AI - e2e,N/A - Test Fix,No - Test created during fix,e2e test fix,,
RHOAIENG-24797,Critical,Closed,"Dashboard, DevOps",Konflux image commit in Dashboard deployment is wrong,None,No ,AI - Test Coverage NA,N/A - Not a Bug,No - Infrastructure Issue,A pipeline check should be added to validate this. ,,
RHOAIENG-24712,Critical,Closed,"Customer Quality, Dashboard, Model Server and Metrics",Advanced deployment should have a Min and a Max instead of a single explicit value,rhoai-2.22,No ,AI - mock,AI - unit,No - Test created during fix,Looks like a suitable Mock Test,,
RHOAIENG-24694,Critical,Closed,"Customer Quality, Dashboard, Model Registry","No project search in Model Registry ""deploy model""",rhoai-2.21,Yes,AI - mock,AI - unit,Yes - Unit,Looks like something we could mock also,,RHOAIENG-22459 (completed)
RHOAIENG-24350,Critical,Closed,"Dashboard, Pipelines",Pipelines - 403 Forbidden Displaying to Admin Users,None,Yes,AI - e2e,AI - mock,No - Test created during fix,,,
RHOAIENG-23800,Critical,Closed,Dashboard,OAI Dashboard issues with token authentication.,rhoai-2.22,No ,AI - e2e,AI - unit,No - Infrastructure Issue,There should be a test case in the backlog for this scenario,,
RHOAIENG-23619,Critical,Closed,"Dashboard, UXD","The ""Latest image version"" popup should be rephrased to be more subdued in expression",rhoai-2.21,No ,AI - Test Coverage NA,AI - e2e,No - Test created during fix,This should have been a task/Story/enhancement - this can be ignored.,,
RHOAIENG-23175,Critical,Closed,Dashboard,"[iLab] ""simple"" typo in Run Type in new ""Start a LAB-tuning run"" form",None,No ,AI - Test Coverage NA,AI - unit,No - Infrastructure Issue,Grammatical checks should not be automated ,,
RHOAIENG-23171,Critical,Closed,Dashboard,[iLab] output_model_registry_api_url trims the protocol,rhoai-2.20,No ,AI - unit,AI - unit,Yes - unit,A check should be added to the current OCI model test,,
RHOAIENG-22858,Critical,Closed,Dashboard,[iLab] No storage class error (in a fresh cluster),rhoai-2.20,No ,AI - e2e,AI - mock,No - Feature Deprecated,Fresh cluster tests and feature flagged tests not executed currently (tasks TBC) ,,
RHOAIENG-22662,Critical,Closed,"Dashboard, DevOps",Tracer returns wrong commit hash for Dashboard image,None,No ,AI - Test Coverage NA,AI - unit,Yes - Unit,A pipeline check should be added to validate this. ,,
